32,ACM International Symposium on Computer Architecture,ISCA,CORE2013,A*,No,,,
98,Advances in Neural Information Processing Systems,NeurIPS,CORE2013,A*,No,,,
117,Annual Computer Security Applications Conference,ACSAC,CORE2013,A,No,,,
162,Asia and South Pacific Design Automation Conference,ASPDAC,CORE2013,C,No,,,
421,"Design, Automation and Test in Europe Conference",DATE,CORE2013,B,No,,,
763,Winter Conference on Applications of Computer Vision,WACV,CORE2013,A,No,,,
783,IEEE/ACM International Conference on Computer-Aided Design,ICCAD,CORE2013,A,No,,,
790,"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,CORE2013,A,No,,,
901,International Conference on Affective Computing and Intelligent Interaction,ACII,CORE2013,C,No,,,
1090,"International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research",CPAIOR,CORE2013,B,No,,,
1267,International Conference on VLSI Design,VLSID,CORE2013,C,No,,,
1825,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,CORE2013,A*,No,,,
1954,Australasian Document Computing Symposium,ADCS,CORE2013,Australasian,Yes,,,
1955,"IASTED International Conferenceon AI, Exp Sys & Neural Networks",AEN,CORE2013,C,Yes,,,
1957,IASTED International Conference on Applied Informatics,AI,CORE2013,C,Yes,,,
1958,Artificial Intelligence and Applications Conference,AIA,CORE2013,C,No,,,
1959,Australian Institute of Computer Ethics Conference,AICEC,CORE2013,Australasian,No,,,
1964,Algorithms and Experiments,ALEX,CORE2013,B,No,,,
1966,Australasian Language Techology Workshop,ALTA,CORE2013,Australasian,Yes,,,
1970,Joint Conference on Declarative Programming APPIA-GULP-PRODE,APPIA/GULP/PRODE,CORE2013,C,No,,,
1972,National Conference of the Australian Robot Association,ARA,CORE2013,Australasian,Yes,,,
1973,Australasian Remote Sensing Conference,ARSC,CORE2013,Australasian,Yes,,,
1975,IASTED International Conference on Artificial Intelligence and Soft Computing,ASC,CORE2013,C,Yes,,,
1977,IASTED International Conference on Applied Simulation and Modelling,ASM,CORE2013,C,Yes,,,
1978,National Conference of The Australian Society for Operations Research,ASOR,CORE2013,Australasian,Yes,,,
1980,Australian Joint Conference on Artificial Intelligence,AusAI,CORE2013,Australasian,Yes,,,
1981,Australian Women in IT Conference,AusWIT,CORE2013,Australasian,Yes,,,
1985,IEEE/IFAC Joint Symposium on Intelligent Control,CACSD,CORE2013,B,No,,,
1986,IASTED International Conference on Computers and Advanced Technology in Education,CATE,CORE2013,C,Yes,,,
1987,International Command and Control Research and Technology Symposium,CCRTS,CORE2013,C,No,,,
1988,"Intelligent Multimedia, Computing and Communications Technologies and Applications of the Future ",CCTAF,CORE2013,C,No,,,
1989,"IEEE Conference on Electronic Commerce Technology and Enterprise Computing, e_Commerce and e-Services ",CBI (was CEC/EEE),CORE2013,B,No,,,
1995,Annual Conference on Computer Science Logic,CSL,CORE2013,B,No,,,
1996,Design Automation Conf,DAC,CORE2013,A,No,,,
1997,Digital Audio Effects Conference,DAFX,CORE2013,B,No,,,
1999,Australian Pattern Recognition Society Conference,DICTA,CORE2013,Australasian,Yes,,,
2000,Joint DICTA & IVCNZ,DICTA/IVCNZ,CORE2013,"Australasin (missed 2013, changed 2019)",No,,,
2002,Doing IT at Melbourne,DITAM,CORE2013,L,No,,,
2006,Distributed Simulation Symposium,DSS,CORE2013,B,No,,,
2007,International Conference on Decision Support Through Knowledge Management,DSTKM,CORE2013,C,No,,,
2008,Information Systems &Technologies /SPIE Conference on Digital Video Compression Algorithms & Techniques,DVAT,CORE2013,C,No,,,
2009,International Workshop on Principles of Diagnosis,DX,CORE2013,B,No,,,
2010,IEEE Dynamic Spectrum Access Networks,DYSPAN,CORE2013,B,No,,,
2013,International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,CORE2013,A,Yes,,,
2014,"World Conference on Educational Multimedia, Hypermedia and Telecommunications ",ED-MEDIA,CORE2013,B,No,,,
2016,Engineering Federated Information (Database) Systems,EFIS/EFDBS,CORE2013,C,Yes,,,
2017,Joint Meeting of the European Frequency and Time Forum and the Institute of Electrical and Electronics Engineers In,EFTF/IFCS,CORE2013,C,No,,,
2018,European Grid Conference,EGC,CORE2013,B,No,,,
2019,The Annual International Conference of the IEEE Engineering in Medicine and Biology Society,EMBC,CORE2013,C,No,,,
2022,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,CORE2013,A,No,,,
2025,European Workshop on Learning Robots,EWLR,CORE2013,B,No,,,
2027,Frontiers in Education,FIE,CORE2013,B,No,,,
2029,Formal Techniques in Real-Time and Fault Tolerant Systems,FTRTFT,CORE2013,B,No,,,
2030,IEEE Global Telecommunications Conference,GLOBECOM,CORE2013,B,No,,,
2032,Human Language Technologies,HLT,CORE2013,B,No,,,
2033,Symposium on High Performance Chips,HOTCHIPS (HCS),CORE2013,A,No,,,
2035,International Conference on High Performance Computing and Networking,HPCN,CORE2013,B,No,,,
2036,IADIS International Conference Applied Computing,IADIS AC,CORE2013,C,No,,,
2037,IEEE Industry Applications Society Annual Conference,IAS,CORE2013,C,No,,,
2039,IFAC Conference on Automation,ICA,CORE2013,C,No,,,
2040,International Conference of Asian Digital Libraries,ICADL,CORE2013,A,No,,,
2041,International Conference on Artificial Neural Networks and Genetic Algorithms,ICANNGA,CORE2013,C,No,,,
2042,"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,CORE2013,B,No,,,
2044,International Conference on Computing and Information,ICCI,CORE2013,B,No,,,
2046,International Conference on Communication Systems and Applications,ICCSA,CORE2013,C,No,,,
2051,IEEE International Conference on Robotics and Automation,ICRA,CORE2013,B,No,,,
2052,International Computer Symposium Conference,ICSC2,CORE2013,A,No,,,
2056,"IEEE Conference on Information, Decision and Control",IDC,CORE2013,C,No,,,
