year,id,authors,title,venue,paper_year
2001,0100090,Richard Taylor,Reciprocity laws from Gauss to Langlands,Jahrbuch der Akademie Wissenschaften zu Gottingen,2005
2001,0100090,R.Taylor,Remarks on a conjecture of Fontaine and Mazur.,Journal of the Institute of Mathematics of Jussieu,2002
2001,0100090,"C.Breuil, B.Conrad, F.Diamond and R.Taylor",On the modularity of rational elliptic curves,Journal of the AMS,2001
2001,0100090,R.Taylor,Galois representations,Annales de la Faculte des Sciences de Toulouse,2004
2001,0100090,R.Taylor,On the meromorphic continuation of degree two L-functions.,Documenta Mathematica (Special Issue for John Coates' 60th birthday.),2006
2001,0100090,R.Taylor,On icosahedral Artin representations II,American journal of mathematics,2003
2001,0100090,R.Taylor and T.Yoshida,Compatibility of local and global Langlands correspondences.,Journal of the AMS,2007
2001,0100090,"K.Buzzard, M.Dickinson, N.Shepherd-Barron, R.Taylor",On icosahedral Artin representations,Duke Mathematical Journal,2001
2001,0100120,"Graves Gaylord, A, CE Tweedie, M Sadak, P Webber, J Brown, G Sheehan, W Manley, L Lestak and N Auerbach",The Importance of Metadata for Archiving and Promoting Spatial Data Discovery.,Ber. Polarforsch. Meeresforsc,2005
2001,0100120,"Lynch, A.H., J.A. Curry, R.D. Brunner and J.A. Maslanik","Towards an integrated assessment of the impacts of extreme 
wind events on Barrow, Alaska",Bulletin of the American Meteorological Society,2004
2001,0100120,"Cassano, J.J., P. Uotila, A.H. Lynch, and E.N. Cassano",Predicted changes in synoptic forcing of net precipitation in large Arctic river basins during the 21st century.,Journal of Geophysical Research,2007
2001,0100120,"Brunner, R.D.",A Paradigm for Practice,Policy Sciences,2006
2001,0100120,C.L. Carter and M. Dyurgerov,Observational evidence of increases in freshwater inflow to the Arctic Ocean,"Arctic, Antarctic and Alpine Research",2004
2001,0100120,"Morehead, M., Syvitski, J.P., and Hutton, E.W.H."," The link between abrupt climate change and basin stratigraphy: 
A numerical approach.",Global and Planetary Science,2001
2001,0100120,"O?Grady, D.B., and Syvitski, J.P.M.","Large-scale morphology of Arctic continental slopes; influence of 
sediment delivery on slope form.",Geological Society,2002
2001,0100120,"Serreze, M.C., J.A. Maslanik, T.A. Scambos, F. Fetterer, J. Stroeve, K. Knowles, C. Fowler, S. Drobot, R.G. Barry, T.M. Haran",A record minimum arctic sea ice extent and area in 2002,Geophysical Research Letters,2003
